carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,split_id,label,x,y,row,col,sample_role
0.0,5.0,15337.861,42.815166,219.21767,196.39047,0.0033247278,124.76811,6.527155e-07,0.2966766,1,0,483750.0,-1948750.0,1592,1619,background
0.0,5.0,11045.361,43.01134,210.28757,65.583,0.011144227,124.581215,8.3574355e-07,0.24548437,1,0,486750.0,-1985250.0,1665,1625,background
0.0,5.0,6363.961,36.9311,178.03789,-80.82857,0.0007124368,134.8413,2.7407134e-06,0.26208928,1,0,-163250.0,-1562750.0,820,325,background
0.0,5.0,19455.076,41.546078,202.3756,-102.007256,0.0019232281,137.79547,3.234953e-06,0.32938153,1,0,524750.0,-1867250.0,1429,1701,background
0.0,5.0,1802.7756,41.919575,198.99023,0.60665506,0.008559386,111.82815,1.396363e-06,0.23744065,1,0,542750.0,-1999250.0,1693,1737,background
0.0,5.0,8860.022,40.114872,182.04796,67.03927,0.012886302,134.57704,1.8731896e-06,0.6370585,1,0,362250.0,-1384750.0,464,1376,background
0.0,5.0,29025.85,41.47517,175.84642,167.8088,0.006903015,101.03273,1.13526285e-05,0.7138024,1,0,544750.0,-2602250.0,2899,1741,background
1.0,6.0,0.0,48.014305,204.56738,-220.0122,0.0029457863,173.31044,7.973091e-06,-0.12118115,1,0,279250.0,-2537250.0,2769,1210,background
0.0,5.0,43081.32,42.383137,176.6867,9.738922,0.004041109,191.25414,1.7371581e-06,0.13927074,1,0,516750.0,-2106250.0,1907,1685,background
0.0,5.0,93061.805,42.019047,171.7423,69.79519,0.006936674,136.2638,1.8331325e-06,0.18588255,1,0,526250.0,-2155750.0,2006,1704,background
0.0,5.0,20402.205,45.641262,202.27388,-574.7263,0.0057746437,195.17708,1.4418312e-06,-0.78741914,1,0,-168250.0,-2637250.0,2969,315,background
0.0,5.0,3807.8865,39.9683,190.09433,-507.29074,0.009393942,85.72502,5.9821707e-07,-0.21191776,1,0,6750.0,-2406250.0,2507,665,background
0.0,5.0,13793.114,38.87359,181.24394,83.4399,0.0058104964,152.30994,2.3820896e-06,0.7098424,1,0,-232250.0,-2083250.0,1861,187,background
0.0,5.0,6576.473,42.102123,192.09769,133.0631,0.012722815,250.32864,2.6803755e-06,-0.83204114,1,0,-141250.0,-2504750.0,2704,369,background
0.0,5.0,13601.471,38.831684,196.91301,390.90747,0.0057137664,128.0515,2.2022105e-06,0.8109278,1,0,168750.0,-1280250.0,255,989,background
0.0,5.0,72548.26,51.500256,172.70276,47.888985,0.004072946,168.87976,1.6220692e-06,0.13337173,1,0,254750.0,-1797250.0,1289,1161,background
0.0,5.0,105048.8,42.83329,185.42668,-165.92862,0.010848146,142.91882,3.9432343e-06,-0.15988937,1,0,10250.0,-2090250.0,1875,672,background
1.0,1.0,3500.0,40.448193,184.02469,238.36768,0.0032875533,149.36626,5.1413565e-07,0.3454166,1,0,631750.0,-1925750.0,1546,1915,background
0.0,5.0,2915.4758,49.930485,174.07388,228.09001,0.011766914,176.4163,1.1341933e-06,0.083177656,1,0,-78750.0,-2249250.0,2193,494,background
0.0,5.0,43000.0,41.98075,186.18806,-28.755083,0.0075464416,175.61456,8.428798e-06,0.0034997954,1,0,69250.0,-2000750.0,1696,790,background
