carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y,row,col
0.0,4.0,2000.0,46.48003,207.5808,-673.47,0.023822432,188.1607,4.8988627e-06,-0.96810365,0,45250.0,-2600750.0,2896,742
0.0,5.0,41379.344,39.491295,168.85889,60.684097,0.003378215,139.87567,9.2295784e-07,0.62841356,0,538750.0,-1312250.0,319,1729
0.0,4.0,6000.0,46.233982,204.3117,-770.2211,0.011399923,166.69423,8.190281e-06,-0.92601,0,36250.0,-2560750.0,2816,724
1.0,1.0,0.0,42.515106,196.86978,10.363656,0.005683901,131.80875,7.724393e-06,0.4186829,1,385750.0,-2411750.0,2518,1423
0.0,5.0,2500.0,38.96574,182.5637,-19.090954,0.007655467,123.696075,3.241428e-06,0.24949272,0,-127250.0,-1581250.0,857,397
0.0,5.0,5656.8545,30.35204,193.22525,-2.5792365,0.001709142,249.39958,2.298685e-06,-0.34766895,0,334750.0,-2744750.0,3184,1321
0.0,5.0,3500.0,42.83809,184.57365,80.82933,0.010658617,109.35175,4.752282e-06,-0.017341273,0,-302750.0,-2408250.0,2511,46
0.0,5.0,1414.2136,47.21212,206.30394,252.26767,0.007490023,233.28328,3.6237468e-06,0.32215846,0,-284250.0,-2805250.0,3305,83
0.0,5.0,64422.434,41.928864,174.91478,103.90291,0.010688576,198.56053,5.088404e-06,0.17714246,0,52750.0,-1894750.0,1484,757
0.0,4.0,32000.0,38.168446,207.86102,-364.66327,0.0032549538,106.878204,2.9326568e-06,-0.8023406,0,201750.0,-2701750.0,3098,1055
0.0,5.0,32695.566,42.5994,166.8433,106.537735,0.0064527025,152.02946,3.3557762e-07,0.46154574,0,512750.0,-1747750.0,1190,1677
0.0,5.0,4472.1357,53.067955,173.91556,44.659615,0.014483019,146.2672,5.095967e-07,0.46177334,0,365250.0,-1754750.0,1204,1382
0.0,5.0,162954.75,37.615913,168.46637,-165.97879,0.0012320003,134.28078,1.422603e-06,-0.1133807,0,572750.0,-2808250.0,3311,1797
0.0,5.0,5830.9517,45.79755,179.03435,-464.45383,0.007920698,139.6744,6.586515e-06,-0.07328476,0,-28750.0,-2182750.0,2060,594
1.0,1.0,5099.0195,46.39543,198.83228,-416.74533,0.0061438913,204.74727,5.6001772e-06,-0.9645522,0,143250.0,-2793250.0,3281,938
0.0,5.0,83585.29,41.99055,149.32266,330.16092,0.016031655,151.96812,8.683027e-07,0.49813,0,540750.0,-1673250.0,1041,1733
0.0,4.0,11180.34,41.038532,197.89977,-78.94035,0.008504702,181.75403,1.2840585e-06,-0.79120755,0,201250.0,-2814250.0,3323,1054
1.0,5.0,35383.613,40.903908,179.3809,-81.95472,0.0039272364,148.24156,7.036103e-06,0.30712396,0,-119250.0,-2097750.0,1890,413
0.0,4.0,707.1068,40.940327,168.04732,110.21437,0.0055180285,146.52396,3.890482e-06,0.03926175,0,-173250.0,-1792250.0,1279,305
0.0,5.0,0.0,39.77657,174.20317,387.74423,0.005245563,134.85037,2.430316e-06,0.6684649,0,411250.0,-1334250.0,363,1474
0.0,6.0,44525.273,39.758442,164.24817,52.31199,0.004815282,127.25422,1.5078577e-06,0.6444542,0,504250.0,-1344750.0,384,1660
0.0,6.0,3000.0,40.15724,198.97484,71.72978,0.00680814,131.24367,3.733026e-06,0.28240114,0,264750.0,-2188750.0,2072,1181
0.0,5.0,43522.984,42.639046,186.53589,-91.69021,0.012178584,127.47058,4.8860613e-07,0.6683262,0,95750.0,-1598250.0,891,843
0.0,5.0,29347.06,39.44121,190.88585,123.35746,0.0018587755,130.51761,8.4835597e-07,0.67053187,0,280750.0,-1321750.0,338,1213
