carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y
0.0,5.0,2500.0,38.712795,178.0224,163.00787,0.0041735037,174.51569,4.060656e-06,0.7309184,0,-310750.0,-2147750.0
0.0,5.0,4924.4287,40.1385,188.727,198.27065,0.005174584,115.193275,2.9169323e-06,0.61602515,0,180250.0,-1525250.0
0.0,5.0,18500.0,44.033363,205.13266,-328.0671,0.018919956,141.67232,1.818409e-06,-0.9636555,0,68250.0,-2694750.0
0.0,5.0,1500.0,40.7959,190.2616,273.87445,0.010075516,120.77784,9.4192666e-07,0.8283513,0,27250.0,-1386250.0
0.0,5.0,2236.0679,41.77258,197.53932,-36.37,0.023383928,67.26693,3.9437423e-06,-0.1763018,0,343250.0,-2619250.0
0.0,5.0,3354.102,42.385235,182.35724,93.749054,0.0044510406,201.75313,5.1914226e-06,0.4406983,0,284250.0,-1586750.0
1.0,1.0,500.0,40.55739,175.38118,251.36267,0.003981471,140.01366,1.2614087e-06,0.61870795,0,407750.0,-1415250.0
0.0,5.0,58806.887,46.622795,214.45827,166.54237,0.0062984386,170.45255,3.249314e-06,0.5315834,0,354750.0,-1889250.0
0.0,5.0,33000.0,43.339634,189.26825,-35.595215,0.018547716,90.30517,5.726757e-06,-0.5722114,0,-253750.0,-2469750.0
0.0,5.0,2500.0,45.452488,206.91718,-531.1176,0.018060999,164.29283,5.8690225e-06,-0.3927998,0,267250.0,-2567250.0
0.0,5.0,3201.562,42.772163,186.24406,72.9685,0.014549391,101.129684,1.707443e-05,0.43291298,0,433250.0,-2596750.0
0.0,4.0,2500.0,39.7423,178.4333,284.91107,0.020331578,245.87038,4.901242e-06,0.6429328,0,-243250.0,-1995250.0
0.0,5.0,125989.086,42.938515,172.50197,22.452791,0.006660365,145.93173,1.3076633e-06,0.29074225,0,581750.0,-2162750.0
0.0,5.0,49912.42,42.334473,178.4529,-5.886397,0.00688715,141.0831,6.0001153e-06,0.28969657,0,456250.0,-2244750.0
